value,coin00,coin01,coin02,coin03,coin04
3,8,14,15,12,15
40,11,14,9,8,17
9,10,10,13,10,9
4,11,11,7,8,9
12,8,9,7,9,27
5,11,15,15,10,26
6,14,12,11,10,8
36,13,17,13,19,14
5,17,16,8,11,20
8,12,14,16,13,22
18,18,10,7,15,25
4,12,14,13,13,14
8,17,30,13,15,27
31,13,15,12,12,27
5,11,22,14,9,26
9,11,23,15,15,28
35,17,31,16,9,28
8,14,13,13,16,30
5,15,13,15,16,12
23,12,24,10,8,23
9,11,12,7,12,10
4,13,19,13,15,15
27,11,25,14,8,14
6,9,30,10,14,13
5,17,8,14,19,10
24,14,15,15,8,14
9,14,30,11,17,9
5,14,24,9,14,12
11,12,21,16,9,17
9,10,28,12,17,7
10,9,17,9,19,9
14,13,12,16,13,11
8,17,16,15,18,15
7,10,26,16,14,7
24,10,20,13,19,9
10,12,27,12,9,15
2,16,7,10,0,15
29,16,23,8,0,14
9,17,10,8,0,12
4,14,15,15,0,15
35,14,9,15,0,12
10,13,8,16,0,12
10,12,11,10,0,12
33,13,12,10,0,8
7,14,15,16,0,15
2,15,17,11,0,10
18,12,7,11,0,7
4,9,18,14,0,7
10,11,8,13,0,13
11,14,24,13,0,13
7,14,26,15,0,14
10,15,16,9,0,16
21,16,9,15,0,7
6,15,30,17,0,11
6,9,10,9,0,7
29,18,14,17,0,12
7,11,10,9,0,10
5,13,17,15,0,13
16,16,7,12,0,8
5,11,27,14,0,12
6,12,13,14,0,9
34,9,16,10,0,10
5,9,9,17,0,14
10,16,15,10,0,16
33,15,13,9,0,12
8,9,11,16,0,15
9,14,10,16,0,13
20,11,12,13,0,8
10,13,18,11,0,14
6,8,18,10,0,12
31,15,16,12,0,16
8,9,17,10,0,15
